prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age
1866,0.36,1200,3,HIGH SPRINGS,0,228300,487,2008,100,1200,0,96,0,16
1875,9.21,2739,3,HIGH SPRINGS,83800,456000,21291,1994,100,2739,0,20,0,30
1918,0.39,1736,3,HIGH SPRINGS,189800,265400,1102,2003,100,1735.5,0,619.5,528,21
1926,1.52,2112,4,HIGH SPRINGS,0,427200,2396,2005,100,2112,0,355,995,19
1927,1.52,1364,3,HIGH SPRINGS,0,318400,3844,2002,100,1363.5,0,854.5,0,22
1935,0.43,2163,3,HIGH SPRINGS,189800,374600,16641,2010,100,1496,667,360,0,14
1941,0.66,1767,3,HIGH SPRINGS,189800,280000,0,1998,100,1767,0,440,0,26
1951,1.99,1867,3,HIGH SPRINGS,0,419400,27065,2003,100,1867,0,216,273,21
1960,0.21,1593,3,HIGH SPRINGS,247500,308600,1074,2013,100,1593,0,170,484,11
1965,0.21,1733,3,HIGH SPRINGS,247500,322000,4102,2015,100,1733,0,72,484,9
1966,0.21,1556,3,HIGH SPRINGS,247500,317600,1164,2014,100,1556,0,212,484,10
1970,0.21,1441,3,HIGH SPRINGS,247500,316800,671,2017,100,2882,0,376,800,7
2026,0.23,1847,3,HIGH SPRINGS,247500,329400,77,2016,100,1847,0,239,462,8
2030,0.25,1644,3,HIGH SPRINGS,247500,320300,1216,2015,100,1644,0,290,484,9
2033,0.2,1484,3,HIGH SPRINGS,247500,321500,943,2009,100,1483.5,0,397.5,444,15
2043,0.2,1394,3,HIGH SPRINGS,247500,276900,1535,2016,100,1394,0,188,400,8
2047,0.2,1772,3,HIGH SPRINGS,247500,331700,1180,2014,100,1772,0,216,484,10
2052,0.21,1912,3,HIGH SPRINGS,247500,332300,1480,2017,100,1912,0,226,462,7
2060,0.2,1441,3,HIGH SPRINGS,247500,302900,4164,2017,100,1441,0,188,400,7
2092,0.19,1968,3,HIGH SPRINGS,247500,355000,447,2012,100,1968,0,240,484,12
2096,0.23,1752,3,HIGH SPRINGS,247500,333200,1310,2015,100,1752,0,236,484,9
2103,0.21,1740,3,HIGH SPRINGS,247500,361700,31385,2012,100,1740,0,175.5,484,12
2124,0.23,1772,3,HIGH SPRINGS,247500,329200,1671,2013,100,1772,0,216,484,11
2179,4,1470,3,SUWANNEE,0,242400,12203,2003,100,870,0,600,0,21
2200,5,1860,3,HIGH SPRINGS,203500,436500,50981,2015,100,1860,0,372,0,9
2240,5,1946,3,HIGH SPRINGS,182400,388900,6303,2012,100,1660,0,346,484,12
2247,2.71,1570,3,HIGH SPRINGS,182400,308700,616,2006,100,1390,0,192,576,18
2259,2.64,1456,4,SUWANNEE,14100,343400,4282,2015,100,1456,0,36,0,9
2339,1.25,1893,3,HIGH SPRINGS,107700,387700,5873,1996,100,1893,0,606,462,28
2343,1.03,1667,3,HIGH SPRINGS,107700,434300,7669,1997,100,1667,0,214,567,27
2344,1.03,2045,3,HIGH SPRINGS,107700,429700,12222,2004,100,2045,0,338,504,20
2363,0.25,1457,3,HIGH SPRINGS,94000,314600,420,2010,100,1457,0,214,420,14
2364,0.25,1629,3,HIGH SPRINGS,94000,311900,18203,2008,100,1629,0,209,441,16
2377,0.25,1465,3,HIGH SPRINGS,94001,285400,1437,2005,100,1465,0,214,412,19
2384,0.25,1465,3,HIGH SPRINGS,94001,299900,413,2010,100,2930,0,428,824,14
2388,0.36,1485,3,HIGH SPRINGS,94002,266000,7656,2005,100,1485,0,214,412,19
2391,0.36,1585,3,HIGH SPRINGS,94002,304200,1191,2005,100,1585,0,209,447,19
2395,0.23,1507,3,HIGH SPRINGS,94002,270300,1484,2005,100,1507,0,248,411,19
2409,5.61,1936,3,HIGH SPRINGS,182500,475300,14764,2016,100,1936,0,426,456,8
2416,4.24,2608,3,SUWANNEE,182600,220500,24701,1990,100,2378,0,433,0,34
2453,1.54,2280,3,HIGH SPRINGS,0,309400,3549,2000,100,2280,0,40,0,24
2498,1,1080,3,HIGH SPRINGS,0,135100,3656,1994,100,1080,0,112,0,30
2518,0.23,1178,3,HIGH SPRINGS,178600,218100,1159,1998,100,1178,0,124,264,26
2529,0.46,1259,3,HIGH SPRINGS,178600,272300,411,2015,100,1259,0,78,240,9
2532,0.46,1160,3,HIGH SPRINGS,178700,250500,1373,2006,100,1160,0,120,462,18
2534,0.46,1452,3,HIGH SPRINGS,178700,163100,785,2000,100,1200,0,342,0,24
2564,0.23,1208,3,HIGH SPRINGS,73000,220500,468,2005,100,1208,0,132,308,19
2570,0.36,1204,3,HIGH SPRINGS,73000,248300,532,2009,100,1204,0,56,308,15
2598,0.17,1194,3,HIGH SPRINGS,73000,238800,487,2006,100,1194,0,55,374,18
2602,0.17,900,3,HIGH SPRINGS,73000,194900,173,1995,100,900,0,116,252,29
2619,0.17,1154,3,HIGH SPRINGS,73000,211700,259,2000,100,1154,0,60,0,24
2622,0.17,956,3,HIGH SPRINGS,73000,189300,1012,2010,100,956,0,48,0,14
2712,0.31,1096,3,HIGH SPRINGS,64600,214000,0,2005,100,1096,0,0,0,19
2817,0.16,1064,3,HIGH SPRINGS,64600,180600,0,2010,100,1064,0,0,0,14
2857,0.34,1002,3,HIGH SPRINGS,64600,157600,0,1994,100,1002,0,66,0,30
2899,0.52,1297,3,HIGH SPRINGS,64600,168800,2597,1994,100,1297,0,0,0,30
2919,0.35,2401,4,HIGH SPRINGS,64600,434200,4988,2001,100,1894,0,535,676,23
2920,0.54,1743,3,HIGH SPRINGS,64600,296200,336,2004,100,1743,0,402,0,20
2927,0.34,1464,3,HIGH SPRINGS,64600,225300,3674,2000,100,1464,0,192,0,24
2928,0.34,1312,3,HIGH SPRINGS,64600,243500,0,2009,100,856,0,456,0,15
2929,0.34,1321,3,HIGH SPRINGS,64600,291300,320,2008,100,1321,0,224,440,16
2930,0.34,1885,3,HIGH SPRINGS,64600,240900,3172,1994,100,1885,0,46,0,30
2934,0.34,1318,3,HIGH SPRINGS,64600,275400,12612,1999,100,1318,0,92,416,25
2950,0.34,1316,3,HIGH SPRINGS,64600,243900,1504,1994,100,1316,0,198,252,30
2962,0.34,1273,3,HIGH SPRINGS,64600,306000,11050,2010,100,1273,0,161,420,14
2967,0.34,2044,3,HIGH SPRINGS,64600,318600,5854,1999,100,1044,1000,0,420,25
2976,0.33,1701,3,HIGH SPRINGS,64600,344300,32113,2000,100,1701,0,130,552,24
2985,0.41,1798,3,HIGH SPRINGS,182000,312500,6342,2005,100,1798,0,318,441,19
3017,0.34,1606,2,HIGH SPRINGS,64600,197000,2564,1994,100,1456,0,150,0,30
3027,0.34,1240,3,HIGH SPRINGS,64600,198500,11696,1994,100,1144,0,168,0,30
3033,0.34,1240,3,HIGH SPRINGS,64600,96400,5870,1994,100,1240,0,96,0,30
3034,0.34,1200,3,HIGH SPRINGS,64600,234900,279,2003,100,1200,0,90,315,21
3037,1.19,1477,3,HIGH SPRINGS,64600,181500,4704,1994,100,1477,0,0,0,30
3044,1.15,1930,3,HIGH SPRINGS,64500,165000,508,1994,100,1930,0,0,0,30
3055,0.36,1248,3,HIGH SPRINGS,93500,291300,7909,2002,100,1248,0,168,712,22
3059,0.34,1008,3,HIGH SPRINGS,93500,128800,5645,1994,100,1008,0,0,0,30
3071,0.34,2120,3,HIGH SPRINGS,93500,299700,7244,1995,100,1772,0,378,0,29
3074,0.15,1080,3,HIGH SPRINGS,93500,72900,1738,1994,100,864,0,216,0,30
3100,0.23,1156,3,HIGH SPRINGS,64600,224500,7825,2000,100,1156,0,0,0,24
3212,0.22,1176,3,HIGH SPRINGS,64600,126900,1200,1994,100,1176,0,0,0,30
3234,0.34,1737,3,HIGH SPRINGS,64600,269200,17953,1994,100,1737,0,56,0,30
3236,0.34,1029,3,HIGH SPRINGS,64600,216300,4356,2008,100,1029,0,0,0,16
3237,0.34,1171,3,HIGH SPRINGS,64600,245000,2124,2005,100,2342,0,294,0,19
3242,0.45,1380,3,HIGH SPRINGS,64600,331400,4896,2008,100,1380,0,96,0,16
3245,0.23,1431,3,HIGH SPRINGS,64600,264100,1400,2000,100,1431,0,0,0,24
3246,0.23,1926,2,HIGH SPRINGS,64600,144900,2388,1994,100,1626,0,550,0,30
3256,0.17,1120,3,HIGH SPRINGS,64600,188800,699,2000,100,1120,0,352,0,24
3280,0.34,1456,3,HIGH SPRINGS,64600,286300,7916,2004,100,1456,0,224,0,20
3283,0.18,1044,3,HIGH SPRINGS,64600,198800,592,1995,100,1044,0,0,0,29
3310,0.68,2258,3,HIGH SPRINGS,64600,263600,7636,1994,100,2258,0,24,0,30
3316,0.34,2370,3,HIGH SPRINGS,64600,360400,13996,2000,100,2190,0,188,0,24
3319,0.38,2153,3,HIGH SPRINGS,64600,313300,4185,1999,100,1906,0,889,0,25
3326,0.34,1125,3,HIGH SPRINGS,64600,250500,947,2014,100,1125,0,50,0,10
3354,0.73,2785,3,HIGH SPRINGS,64600,402900,1276,1997,100,2785,0,175,0,27
3360,0.34,1551,3,HIGH SPRINGS,64600,237300,2944,2004,100,2850,0,252,0,20
3371,0.34,832,3,HIGH SPRINGS,64600,149800,3753,1994,100,1664,0,0,396,30
3382,0.32,1624,3,HIGH SPRINGS,64600,319900,4016,2012,100,1760,1296,262,0,12
3384,0.23,1600,3,HIGH SPRINGS,64600,247500,314,1999,100,1600,0,24,0,25
3387,0.46,2513,3,HIGH SPRINGS,64600,368700,7300,2003,100,1188,0,1937,0,21
3389,0.28,2066,3,HIGH SPRINGS,64600,297000,10668,2000,100,2066,0,108,0,24
3390,0.43,1416,3,HIGH SPRINGS,64600,207100,1295,1998,100,1416,0,40,0,26
3397,0.21,2408,4,HIGH SPRINGS,64600,467100,2342,2002,100,1204,1204,230,0,22
3398,0.14,1136,3,HIGH SPRINGS,64600,226600,320,2009,100,608,528,15,0,15
3404,0.11,911,3,HIGH SPRINGS,64600,180400,1251,2010,100,585,0,326,0,14
3405,0.34,1172,3,HIGH SPRINGS,64600,171500,0,1995,100,968,0,204,0,29
3408,0.34,1371,3,HIGH SPRINGS,64600,83200,4716,1994,100,2742,0,0,0,30
3423,0.25,1657,3,HIGH SPRINGS,64600,287900,1851,2009,100,1603,0,744,0,15
3432,0.2,1442,3,HIGH SPRINGS,64600,142000,2739,1994,100,1266,0,356,0,30
3457,0.57,1648,3,HIGH SPRINGS,64600,363700,8884,2006,100,1648,0,280,576,18
3465,0.23,1084,3,HIGH SPRINGS,152700,192200,3100,1998,100,2168,0,130,0,26
3482,0.34,1083,2,HIGH SPRINGS,64600,91900,0,1994,100,1083,0,96,0,30
3500,0.68,1372,3,HIGH SPRINGS,64600,218000,700,1995,100,1300,0,339,0,29
3503,0.34,1656,2,HIGH SPRINGS,64600,92000,0,1994,100,1656,0,696,0,30
3517,0.11,702,3,HIGH SPRINGS,64600,109900,2421,1994,100,702,0,140,0,30
3547,1.15,2112,3,HIGH SPRINGS,94500,260300,37536,1996,100,1618,494,36,0,28
3553,0.34,945,3,HIGH SPRINGS,94500,118500,64,1994,100,945,0,120,0,30
3557,0.34,1058,3,HIGH SPRINGS,94500,211200,425,2012,100,1058,0,276,0,12
3584,0.23,1064,3,HIGH SPRINGS,94900,255400,21702,1995,100,852,0,440,0,29
3586,0.2,1248,3,HIGH SPRINGS,94900,141100,680,2014,100,3744,0,75,0,10
3705,0.11,1200,3,HIGH SPRINGS,71600,231300,518,2022,100,1200,0,60,0,2
3706,0.09,1200,3,HIGH SPRINGS,71600,210200,518,2022,100,2400,0,200,0,2
3766,0.23,1200,3,HIGH SPRINGS,171900,259900,1628,1994,100,1200,0,160,0,30
3782,0.18,839,3,HIGH SPRINGS,171900,145100,576,2003,100,839,0,241,0,21
3795,0.3,1284,3,HIGH SPRINGS,171900,196400,8775,1994,100,1284,0,0,0,30
3802,0.23,2201,3,HIGH SPRINGS,171900,219800,5672,1994,100,2201,0,216,0,30
3821,0.23,1655,3,HIGH SPRINGS,171900,286900,2477,1994,100,1655,0,91,0,30
3824,0.23,1100,3,HIGH SPRINGS,171900,221500,2500,2009,100,1100,0,144,0,15
3826,0.17,1580,3,HIGH SPRINGS,171900,178500,1155,1994,100,1580,0,0,0,30
3836,0.92,1115,2,HIGH SPRINGS,171900,87400,72,1994,100,1115,0,220,0,30
3846,0.23,1328,3,HIGH SPRINGS,171900,256300,482,2005,100,1328,0,192,0,19
3850,0.23,1232,3,HIGH SPRINGS,171900,222900,783,2011,100,1232,0,0,0,13
3873,0.45,1679,3,HIGH SPRINGS,45800,319500,1005,2008,100,1679,0,265,420,16
3886,0.34,1344,3,HIGH SPRINGS,45800,206100,240,1994,100,1056,0,412,0,30
3929,0.34,984,3,HIGH SPRINGS,45800,151100,1296,1994,100,984,0,0,0,30
3938,0.31,1600,3,HIGH SPRINGS,45800,275600,3168,2010,100,1600,0,304,0,14
3947,0.23,1524,3,HIGH SPRINGS,45800,290700,1616,2007,100,1524,0,454,460,17
3950,0.23,1524,3,HIGH SPRINGS,45800,300800,512,2007,100,1524,0,454,460,17
3956,0.46,1040,3,HIGH SPRINGS,45800,200100,1546,1994,100,1040,0,120,0,30
3969,0.3,896,3,HIGH SPRINGS,45800,153000,640,1994,100,896,0,0,0,30
4032,0.34,1352,3,HIGH SPRINGS,0,198300,352,1994,100,1352,0,0,0,30
4050,0.74,1860,4,HIGH SPRINGS,236800,385000,19073,2007,100,1859.5,0,374.5,511,17
4054,1.64,1503,4,HIGH SPRINGS,236800,299000,7334,2010,100,1503,0,96,408,14
4058,1.02,1958,4,HIGH SPRINGS,236800,442000,38944,2006,100,1958,0,530,462,18
4104,0.23,1012,3,HIGH SPRINGS,152600,159300,232,1999,100,1012,0,80,0,25
4107,0.59,1200,3,HIGH SPRINGS,152600,181400,1352,1994,100,1008,0,304,0,30
4176,0.5,1398,3,HIGH SPRINGS,0,359800,3123,2014,100,2586,0,120,0,10
4179,0.47,1431,3,HIGH SPRINGS,180500,270300,567,2008,100,1431,0,36,399,16
4181,0.31,1504,3,HIGH SPRINGS,180500,235500,23656,2006,100,1504,0,32,462,18
4184,0.43,1347,3,HIGH SPRINGS,180500,274700,491,2006,100,1347,0,94,437,18
4192,0.25,1347,3,HIGH SPRINGS,180500,270700,1763,2005,100,1347,0,94,437,19
4199,0.37,1485,3,HIGH SPRINGS,180500,233400,736,2000,100,1485,0,168,441,24
4203,0.37,1485,3,HIGH SPRINGS,180500,272300,1406,2007,100,1485,0,65,400,17
4204,0.37,1422,3,HIGH SPRINGS,180500,281600,653,2009,100,1422,0,42,380,15
4209,0.25,1290,3,HIGH SPRINGS,180500,273900,1174,2013,100,1289.5,0,124.5,420,11
4211,0.28,1477,3,HIGH SPRINGS,180500,278400,2455,2003,100,2954,0,324,840,21
4244,0.2984,1825,3,HIGH SPRINGS,180500,250500,2820,1994,100,1545,0,384,572,30
4252,0.3,1201,3,HIGH SPRINGS,180500,198900,1309,1994,100,925,0,332,0,30
4256,0.51,1384,3,HIGH SPRINGS,180500,225500,6838,1994,100,1384,0,72,506,30
4260,0.53,1471,3,HIGH SPRINGS,180500,184900,0,1994,100,1133,0,338,0,30
4268,0.38,925,3,HIGH SPRINGS,180500,205000,4051,2013,100,925,0,185,0,11
4278,0.25,925,3,HIGH SPRINGS,180500,185000,4327,1999,100,925,0,148,0,25
4285,0.25,1236,3,HIGH SPRINGS,180500,252800,4652,2012,100,1236,0,60,260,12
4302,0.25,1292,3,HIGH SPRINGS,180500,225000,1360,2000,100,1292,0,48,420,24
4309,0.36,1327,3,HIGH SPRINGS,180500,166600,731,1998,100,1327,0,36,399,26
4315,0.74,1504,3,HIGH SPRINGS,180500,302200,5464,2006,100,1504,0,32,462,18
4318,0.41,1478,3,HIGH SPRINGS,180500,312600,24021,2013,100,1478,0,52,420,11
4321,0.25,1192,3,HIGH SPRINGS,180500,253300,507,2007,100,1192,0,325,400,17
4339,0.25,1487,3,HIGH SPRINGS,180500,288500,2912,2012,100,1317,0,243,399,12
4345,0.25,1518,3,HIGH SPRINGS,180500,221300,948,2006,100,1518,0,132,462,18
4347,0.25,1413,3,HIGH SPRINGS,180500,275400,555,2003,100,1413,0,40,380,21
4351,0.28,1180,3,HIGH SPRINGS,180500,243100,1579,2010,100,1180,0,110,440,14
4356,0.29,1328,3,HIGH SPRINGS,180502,242900,7698,2006,100,1328,0,94,456,18
4363,0.25,1385,3,HIGH SPRINGS,180502,286900,1451,2013,100,1385,0,72,440,11
4368,0.25,1403,3,HIGH SPRINGS,180502,214800,311,2009,100,1403,0,245,420,15
4423,3.17,1214,3,SUWANNEE,0,241000,3642,2006,100,1214,0,36,294,18
4449,0.33,1434,3,HIGH SPRINGS,9005,229000,3104,1994,100,1434,0,69,0,30
4451,0.33,1008,3,HIGH SPRINGS,9005,175100,192,1994,100,3024,0,375,0,30
4467,0.33,1300,3,HIGH SPRINGS,9105,255100,4882,2005,100,2000,0,600,0,19
4469,0.33,1000,3,HIGH SPRINGS,9105,167300,358,1994,100,1000,0,0,0,30
4483,0.24,1212,3,HIGH SPRINGS,8905,223000,1279,2000,100,1008,0,316,0,24
4490,0.31,1710,3,HIGH SPRINGS,8905,280000,6575,1995,100,1710,0,125,441,29
4495,0.35,1260,3,HIGH SPRINGS,8905,195500,220,1994,100,1008,0,316,0,30
4499,0.35,1308,3,HIGH SPRINGS,8905,248000,15524,1994,100,1308,0,60,0,30
4506,12.85,2118,4,SUWANNEE,0,468100,19075,2000,100,1047,1071,269,400,24
4570,5,1050,2,SUWANNEE,19200,101300,11040,1994,100,1050,0,0,0,30
4598,5.17,2310,4,SUWANNEE,0,724300,46703,2017,100,2310,0,1012,1305,7
4604,5.27,2341,3,SUWANNEE,160200,494400,16554,2005,100,2341,0,563,0,19
4613,2.12,2088,3,SUWANNEE,700,329600,18719,2009,100,1588,0,36,0,15
4621,0.43,1058,3,SUWANNEE,160100,258600,6522,1994,100,750,0,308,0,30
4682,5.01,2937,4,HIGH SPRINGS,227600,695800,1630,2020,100,4554,1320,1022,1440,4
4687,5.01,3089,4,HIGH SPRINGS,227600,643500,5356,2015,100,2809,280,231,572,9
4696,6.36,3098,4,HIGH SPRINGS,227600,841500,31514,2015,100,3098,0,442.5,951,9
4703,1.01,1981,3,HIGH SPRINGS,232400,441000,15770,2009,100,1981,0,310,540,15
4710,1.01,1963,3,HIGH SPRINGS,232400,397300,4226,2004,100,1963,0,224,462,20
4720,1.01,2277,3,HIGH SPRINGS,232400,513100,20383,2012,100,2277,0,349,574,12
4728,1.85,2103,3,HIGH SPRINGS,232400,474700,2620,2012,100,2103,0,316,491,12
4729,1.79,3186,4,HIGH SPRINGS,232400,750200,8891,2021,100,2826,0,1046,954,3
4747,1.09,2094,3,HIGH SPRINGS,232400,432900,4406,2005,100,1904,190,600,480,19
4759,1.16,2151,3,HIGH SPRINGS,232400,471500,2256,2012,100,2150.5,0,474.5,441,12
4805,5.01,1500,3,HIGH SPRINGS,93700,272400,4468,2002,100,1500,0,68,720,22
4825,0.97,1365,3,SUWANNEE,0,215700,11272,1994,100,1365,0,0,0,30
4834,0.42,1112,3,SUWANNEE,0,201500,1076,2000,100,1112,0,0,0,24
4842,1.53,2016,3,HIGH SPRINGS,228700,373600,7652,2005,100,2016,0,348,576,19
4847,1.06,1744,3,HIGH SPRINGS,228700,371600,2576,2004,100,1744,0,323,462,20
4848,1.02,1873,3,HIGH SPRINGS,228700,443500,47412,2012,100,5619,0,1557,1380,12
4864,1.02,2096,3,HIGH SPRINGS,228700,437800,20021,2010,100,2096,0,660,506,14
4871,1.03,1828,3,HIGH SPRINGS,228700,367500,24162,2003,100,1828,0,330.5,484,21
4881,1.04,2058,3,HIGH SPRINGS,228700,445500,2852,2012,100,2058,0,266,462,12
4891,2.26,3148,3,HIGH SPRINGS,228700,580400,46703,2002,100,5495,800,1545,2368,22
4894,1.39,2161,3,HIGH SPRINGS,227601,423000,1556,2014,100,2161,0,314,462,10
4904,1.06,1636,3,HIGH SPRINGS,227601,434900,2623,2014,100,1636,0,512,1241,10
4905,1.01,1984,3,HIGH SPRINGS,227601,426100,1846,2014,100,1984,0,241,483,10
4909,1.01,2104,4,HIGH SPRINGS,227601,539900,22806,2014,100,2104,0,204,716,10
4911,1,1984,4,HIGH SPRINGS,227601,479300,9333,2014,100,1984,0,241,463,10
4921,1.56,1525,4,HIGH SPRINGS,227601,396000,1648,2016,100,3050,0,252,920,8
4936,1.1,1850,4,HIGH SPRINGS,227601,417500,1892,2014,100,3699,0,417,924,10
4969,3.8,2220,3,HIGH SPRINGS,228701,536100,3097,2009,100,2220,0,414,500,15
4988,0.54,912,3,HIGH SPRINGS,180501,186500,510,1999,100,912,0,88,240,25
4999,0.28,1152,3,HIGH SPRINGS,180501,198500,706,2013,100,1152,0,64,0,11
5006,0.28,1008,3,HIGH SPRINGS,180501,198100,520,1997,100,1008,0,87,288,27
5010,0.23,1344,3,HIGH SPRINGS,180500,204900,488,1994,100,1056,0,400,0,30
5013,0.23,1056,3,HIGH SPRINGS,180500,227000,540,2007,100,1056,0,0,0,17
5017,0.3,1144,3,HIGH SPRINGS,180500,204700,220,1994,100,1144,0,0,0,30
5027,0.23,1144,3,HIGH SPRINGS,180500,203000,2209,1994,100,1144,0,120,168,30
5029,0.23,1056,3,HIGH SPRINGS,180500,186300,291,2005,100,1056,0,120,0,19
5048,1.29,1335,3,HIGH SPRINGS,180500,235600,24302,1994,100,1335,0,25,0,30
5049,0.34,1075,3,HIGH SPRINGS,180500,191800,760,1994,100,1075,0,25,0,30
5050,0.34,1332,3,HIGH SPRINGS,180500,261900,0,2007,100,1332,0,104,0,17
5064,0.23,1200,3,HIGH SPRINGS,180500,251100,6243,2006,100,1200,0,54,0,18
5075,0.27,1000,3,HIGH SPRINGS,180500,201000,1574,2007,100,1000,0,60,0,17
5081,0.58,1767,3,HIGH SPRINGS,165100,282200,1160,1994,100,3534,0,486,1020,30
5086,0.4,1323,3,HIGH SPRINGS,180500,169800,6718,1994,100,1323,0,76,0,30
5091,0.5,1690,3,HIGH SPRINGS,180500,273900,3635,2001,100,1522,0,210,0,23
5094,0.7,1520,3,HIGH SPRINGS,180500,262400,1531,1994,100,1520,0,68,0,30
5098,0.34,1574,3,HIGH SPRINGS,180500,270200,966,2003,100,1298,0,336,0,21
5100,0.34,1142,3,HIGH SPRINGS,180500,252100,1122,2013,100,1142,0,68,0,11
5104,0.7,1284,3,HIGH SPRINGS,180500,182000,12320,1994,100,1284,0,20,0,30
5110,0.23,1332,3,HIGH SPRINGS,180500,253300,100,2013,100,2664,0,0,0,11
5116,0.34,1729,3,HIGH SPRINGS,180500,269500,12701,2000,100,1252,0,533,0,24
5117,0.34,1289,3,HIGH SPRINGS,180500,220000,2226,2003,100,1289,0,60,0,21
5119,0.35,1360,3,HIGH SPRINGS,180500,230600,569,1994,100,1360,0,104,0,30
5135,0.23,1056,3,HIGH SPRINGS,180500,167000,583,1994,100,1056,0,72,0,30
5136,0.23,1352,3,HIGH SPRINGS,180500,206900,1836,1994,100,1352,0,81,0,30
5139,0.24,1056,3,HIGH SPRINGS,180500,207900,2365,1994,100,1056,0,312,0,30
5140,0.3,1140,3,HIGH SPRINGS,180500,247000,788,2000,100,1140,0,64,0,24
5144,0.3,1308,3,HIGH SPRINGS,180500,201400,8914,2000,100,1308,0,0,0,24
5148,0.23,1308,3,HIGH SPRINGS,180500,214400,2470,1994,100,1308,0,68,0,30
5165,5,1284,4,HIGH SPRINGS,227500,387100,2304,2014,100,2568,0,296,966,10
